набор,текст,условие,полн: каркас ребро,полн: каркас CV,полн: ячейки ребро,q*
механические,17,хапаксы одного домена,0.7240486524443867,0.10092340323433802,0.42116988973723807,0.38833333333333336
механические,17,20 чужих хапаксов,0.7339562873200669,0.09172062962438811,0.4086244950527452,0.3833333333333333
механические,17,маркер каждые 3,0.7889931697461178,0.08615444207601029,0.4192922326634601,0.5083333333333333
механические,17,без пунктуации,0.7671582077832428,0.07727352982810404,0.47596228011501,0.3333333333333333
механические,17,без служебных,0.7228162747460017,0.09612883915011265,0.4060167016621868,0.32833333333333337
механические,18,исходный,0.744580815744477,0.09395773627077415,0.4316440923160303,0.355
механические,18,перемешивание,0.7253001601510403,0.08788283801746016,0.46678300139919354,0.355
механические,18,эхо x2,0.7661620269845876,0.09878378357337557,0.35369792072522066,0.52
механические,18,эхо x4,0.7767769845990884,0.08808928785920463,0.2483938798889621,0.6783333333333333
механические,18,эхо на четверти,0.7504719716479992,0.08995973859163497,0.3885319024444375,0.4583333333333333
механические,18,словарь к 25,0.752959964058341,0.09630294904110993,0.45003338419129507,0.63
механические,18,словарь к 60,0.7458310023156307,0.09560559631423311,0.43496204297477964,0.5333333333333333
механические,18,все слова разные,0.7277814965890129,0.09799893680740235,0.43680080712266617,0.2916666666666667
